author_uid,institution_uid,start_date,end_date
0000-0001-5100-5571,grid.462318.a,2021-10-01,
0000-0001-5100-5571,grid.462318.a,2018-01-01,2021-09-30
0000-0001-5100-5571,grid.462318.a,2021-10-01,
0000-0001-5100-5571,grid.462318.a,2018-01-01,2021-09-30
0000-0001-5100-5571,grid.462318.a,2021-10-01,
0000-0001-5100-5571,grid.462318.a,2018-01-01,2021-09-30
0000-0001-5100-5571,http://dx.doi.org/10.13039/100006962,2015-01-01,2018-01-01
0000-0001-5100-5571,http://dx.doi.org/10.13039/100006962,2015-01-01,2018-01-01
0000-0001-5100-5571,http://dx.doi.org/10.13039/100006962,2015-01-01,2018-01-01
0000-0001-5101-7097,074c7d84,2000-01-01,
0000-0001-5101-7097,612a73a6,1998-01-01,2000-01-01
0000-0001-5101-7097,612a73a6,1989-01-01,1995-01-01
0000-0001-5101-7097,79103777,2000-01-01,
0000-0001-5101-7097,8d56595b,2002-01-01,2004-01-01
0000-0001-5101-7097,c1b84fdb,2000-01-01,
0000-0001-5101-7097,https://ror.org/01p7p3890,2022-11-01,
0000-0001-5101-8567,113403,2003-01-10,2007-02-18
0000-0001-5101-8567,113403,2008-03-21,2015-03-20
0000-0001-5101-8567,216630,2015-03-20,2022-02-01
0000-0001-5101-8567,https://ror.org/00bzsst90,2022-02-01,
0000-0001-5102-3294,468087,2015-09-01,
0000-0001-5108-5743,4919,2012-01-01,2015-01-01
0000-0001-5108-5743,6396,,
0000-0001-5108-5743,grid.83440.3b,2012-01-01,2021-01-01
0000-0001-5108-5743,http://dx.doi.org/10.13039/501100000845,2016-01-01,2019-01-01
0000-0001-5114-5072,2462,1988-01-01,1992-01-01
0000-0001-5114-5072,25809,1983-01-01,1986-01-01
0000-0001-5114-5072,26451,1986-01-01,1988-01-01
0000-0001-5114-5072,26451,1995-01-01,
0000-0001-5114-8484,14707,1994-01-01,1998-01-01
0000-0001-5114-8484,6614,1998-01-01,2006-01-01
0000-0001-5114-8484,http://dx.doi.org/10.13039/100008510,2008-01-01,
0000-0001-5115-5668,2462,2017-08-01,2018-07-31
0000-0001-5115-5668,3270,2018-09-01,2023-11-01
0000-0001-5115-5668,8788,2010-09-27,2014-06-14
0000-0001-5115-5668,grid.21940.3e,2014-08-15,2017-06-15
0000-0001-5115-5668,https://ror.org/041nk4h53,2024-05-06,
0000-0001-5115-936X,54a81dd6,,
0000-0001-5117-3647,0386721f,1989-01-01,1993-01-01
0000-0001-5117-3647,1811,1998-01-01,2005-01-01
0000-0001-5117-3647,1811,2014-10-01,
0000-0001-5117-3647,1811,2013-07-01,
0000-0001-5119-1028,df6a3a7f,2022-03-02,
0000-0001-5120-3770,ee764e23,2022-01-01,
0000-0001-5120-3770,ee764e23,2022-01-01,
0000-0001-5120-3770,grid.421345.5,2005-08-01,2021-11-24
0000-0001-5120-3770,grid.421345.5,2005-08-01,2021-11-24
0000-0001-5120-5426,6614,,
0000-0001-5120-9750,130376,2015-11-15,2020-02-15
0000-0001-5120-9750,198328,2020-06-01,2022-02-01
0000-0001-5120-9750,3e591a20,2015-02-15,2020-01-01
0000-0001-5120-9750,https://ror.org/04qmmjx98,2022-02-01,
0000-0001-5125-7699,173556,1998-01-01,
0000-0001-5125-7699,1980,1980-01-01,1984-01-01
0000-0001-5125-7699,2152,1977-01-01,1980-01-01
0000-0001-5125-7699,5970,1984-01-01,1988-01-01
0000-0001-5125-7699,5970,1984-01-01,1993-01-01
